UUNITS = MILLIMETERS
RefDes               Layer      MidX          MidY         Rotation     Footprint
D153                 BOTTOM     8.7500        38.7500        0          LED-0603            
D154                 BOTTOM     8.7500        36.2500        0          LED-0603            
D155                 BOTTOM     8.7500        33.7500        0          LED-0603            
D156                 BOTTOM     8.7500        31.2500        0          LED-0603            
D157                 BOTTOM     8.7500        28.7500        0          LED-0603            
D158                 BOTTOM     8.7500        26.2500        0          LED-0603            
D159                 BOTTOM     8.7500        23.7500        0          LED-0603            
D16                  BOTTOM     3.7500         8.7500        0          LED-0603            
D160                 BOTTOM     8.7500        21.2500        0          LED-0603            
D161                 BOTTOM     11.2500       38.7500        0          LED-0603            
D162                 BOTTOM     11.2500       36.2500        0          LED-0603            
D163                 BOTTOM     11.2500       33.7500        0          LED-0603            
D164                 BOTTOM     11.2500       31.2500        0          LED-0603            
D165                 BOTTOM     11.2500       28.7500        0          LED-0603            
D166                 BOTTOM     11.2500       26.2500        0          LED-0603            
D167                 BOTTOM     11.2500       23.7500        0          LED-0603            
D168                 BOTTOM     11.2500       21.2500        0          LED-0603            
D169                 BOTTOM     13.7500       38.7500        0          LED-0603            
D17                  BOTTOM     3.7500         6.2500        0          LED-0603            
D170                 BOTTOM     13.7500       36.2500        0          LED-0603            
D171                 BOTTOM     13.7500       33.7500        0          LED-0603            
D172                 BOTTOM     13.7500       31.2500        0          LED-0603            
D173                 BOTTOM     13.7500       28.7500        0          LED-0603            
D174                 BOTTOM     13.7500       26.2500        0          LED-0603            
D175                 BOTTOM     13.7500       23.7500        0          LED-0603            
D176                 BOTTOM     13.7500       21.2500        0          LED-0603            
D177                 BOTTOM     16.2500       38.7500        0          LED-0603            
D178                 BOTTOM     16.2500       36.2500        0          LED-0603            
D179                 BOTTOM     16.2500       33.7500        0          LED-0603            
D18                  BOTTOM     3.7500         3.7500        0          LED-0603            
D180                 BOTTOM     16.2500       31.2500        0          LED-0603            
D181                 BOTTOM     16.2500       28.7500        0          LED-0603            
D182                 BOTTOM     16.2500       26.2500        0          LED-0603            
D183                 BOTTOM     16.2500       23.7500        0          LED-0603            
D184                 BOTTOM     16.2500       21.2500        0          LED-0603            
D185                 BOTTOM     18.7500       38.7500        0          LED-0603            
D186                 BOTTOM     18.7500       36.2500        0          LED-0603            
D187                 BOTTOM     18.7500       33.7500        0          LED-0603            
D188                 BOTTOM     18.7500       31.2500        0          LED-0603            
D189                 BOTTOM     18.7500       28.7500        0          LED-0603            
D19                  BOTTOM     6.2500        18.7500        0          LED-0603            
D190                 BOTTOM     18.7500       26.2500        0          LED-0603            
D191                 BOTTOM     18.7500       23.7500        0          LED-0603            
D192                 BOTTOM     18.7500       21.2500        0          LED-0603            
D193                 BOTTOM     21.2500       16.2500        0          LED-0603            
D194                 BOTTOM     21.2500        3.7500        0          LED-0603            
D195                 BOTTOM     21.2500        1.2500        0          LED-0603            
D196                 BOTTOM     23.7500       13.7500        0          LED-0603            
D197                 BOTTOM     23.7500        3.7500        0          LED-0603            
D198                 BOTTOM     23.7500        1.2500        0          LED-0603            
D199                 BOTTOM     26.2500       16.2500        0          LED-0603            
D2                   BOTTOM     6.2500        16.2500        0          LED-0603            
D20                  BOTTOM     6.2500        13.7500        0          LED-0603            
D200                 BOTTOM     26.2500        1.2500        0          LED-0603            
D201                 BOTTOM     21.2500       18.7500        0          LED-0603            
D202                 BOTTOM     21.2500       13.7500        0          LED-0603            
D203                 BOTTOM     21.2500       11.2500        0          LED-0603            
D204                 BOTTOM     21.2500        8.7500        0          LED-0603            
D205                 BOTTOM     21.2500        6.2500        0          LED-0603            
D206                 BOTTOM     23.7500       18.7500        0          LED-0603            
D207                 BOTTOM     23.7500       16.2500        0          LED-0603            
D208                 BOTTOM     23.7500       11.2500        0          LED-0603            
D209                 BOTTOM     23.7500        8.7500        0          LED-0603            
D21                  BOTTOM     6.2500        11.2500        0          LED-0603            
D210                 BOTTOM     23.7500        6.2500        0          LED-0603            
D211                 BOTTOM     26.2500       18.7500        0          LED-0603            
D212                 BOTTOM     26.2500       13.7500        0          LED-0603            
D213                 BOTTOM     26.2500       11.2500        0          LED-0603            
D214                 BOTTOM     26.2500        8.7500        0          LED-0603            
D215                 BOTTOM     26.2500        6.2500        0          LED-0603            
D216                 BOTTOM     26.2500        3.7500        0          LED-0603            
D217                 BOTTOM     28.7500       18.7500        0          LED-0603            
D218                 BOTTOM     28.7500       16.2500        0          LED-0603            
D219                 BOTTOM     28.7500       13.7500        0          LED-0603            
D22                  BOTTOM     6.2500         8.7500        0          LED-0603            
D220                 BOTTOM     28.7500       11.2500        0          LED-0603            
D221                 BOTTOM     28.7500        8.7500        0          LED-0603            
D222                 BOTTOM     28.7500        6.2500        0          LED-0603            
D223                 BOTTOM     28.7500        3.7500        0          LED-0603            
D224                 BOTTOM     28.7500        1.2500        0          LED-0603            
D225                 BOTTOM     31.2500       18.7500        0          LED-0603            
D226                 BOTTOM     31.2500       16.2500        0          LED-0603            
D227                 BOTTOM     31.2500       13.7500        0          LED-0603            
D228                 BOTTOM     31.2500       11.2500        0          LED-0603            
D229                 BOTTOM     31.2500        8.7500        0          LED-0603            
D23                  BOTTOM     6.2500         6.2500        0          LED-0603            
D230                 BOTTOM     31.2500        6.2500        0          LED-0603            
D231                 BOTTOM     31.2500        3.7500        0          LED-0603            
D232                 BOTTOM     31.2500        1.2500        0          LED-0603            
D233                 BOTTOM     33.7500       18.7500        0          LED-0603            
D234                 BOTTOM     33.7500       16.2500        0          LED-0603            
D235                 BOTTOM     33.7500       13.7500        0          LED-0603            
D236                 BOTTOM     33.7500       11.2500        0          LED-0603            
D237                 BOTTOM     33.7500        8.7500        0          LED-0603            
D238                 BOTTOM     33.7500        6.2500        0          LED-0603            
D239                 BOTTOM     33.7500        3.7500        0          LED-0603            
D24                  BOTTOM     6.2500         3.7500        0          LED-0603            
D240                 BOTTOM     33.7500        1.2500        0          LED-0603            
D241                 BOTTOM     36.2500       18.7500        0          LED-0603            
D242                 BOTTOM     36.2500       16.2500        0          LED-0603            
D243                 BOTTOM     36.2500       13.7500        0          LED-0603            
